Category,RGS,AC,PValue,Bonferroni
Stress response: detoxification: ugt,18,69,1.525565981893387e-16,2.242581993383279e-14
Unassigned: regulated by multiple stresses,81,1707,4.439979777371897e-16,6.526770272736688e-14
Metabolism: lipid: binding,16,67,3.4112241788929965e-14,5.014499542972705e-12
Metabolism: lipid: fatty acid,15,68,7.617660375712627e-13,1.1197960752297561e-10
Stress response: pathogen: unassigned,13,96,1.4566007034695709e-08,2.1412030341002694e-06
Stress response: heat,8,30,3.671749107220289e-08,5.3974711876138255e-06
Transmembrane transport: ABC,9,50,2.0195582967701676e-07,2.9687506962521464e-05
Stress response: detoxification: GST,7,52,3.415661230865739e-05,0.0050210220093726355
Metabolism: amino acid: breakdown,6,36,3.61701388435853e-05,0.005317010410007039
